ID,Line
0,"Nisus, the guardian of the portal, stood,"
1,Eager to gild his arms with hostile blood;
2,"Well skill'd, in fight, the quivering lance to wield,"
3,Or pour his arrows thro' th' embattled field:
4,"From Ida torn, he left his sylvan cave,"
5,"And sought a foreign home, a distant grave."
6,"To watch the movements of the Daunian host,"
7,With him Euryalus sustains the post;
8,"No lovelier mien adorn'd the ranks of Troy,"
9,And beardless bloom yet grac'd the gallant boy;
10,"Though few the seasons of his youthful life,"
11,"As yet a novice in the martial strife,"
12,"'Twas his, with beauty, Valour's gifts to share--"
13,"A soul heroic, as his form was fair:"
14,These burn with one pure flame of generous love;
15,"In peace, in war, united still they move;"
16,Friendship and Glory form their joint reward;
17,"And, now, combin'd they hold their nightly guard."
18,"""What God,"" exclaim'd the first, ""instils this fire?"
19,"Or, in itself a God, what great desire?"
20,"My lab'ring soul, with anxious thought oppress'd,"
21,Abhors this station of inglorious rest;
22,"The love of fame with this can ill accord,"
23,Be't mine to seek for glory with my sword.
24,"See'st thou yon camp, with torches twinkling dim,"
25,Where drunken slumbers wrap each lazy limb?
26,"Where confidence and ease the watch disdain,"
27,And drowsy Silence holds her sable reign?
28,Then hear my thought:--In deep and sullen grief
29,Our troops and leaders mourn their absent chief:
30,"Now could the gifts and promised prize be thine,"
31,"(The deed, the danger, and the fame be mine,)"
32,"Were this decreed, beneath yon rising mound,"
33,"Methinks, an easy path, perchance, were found;"
34,"Which past, I speed my way to Pallas' walls,"
35,"And lead Æneas from Evander's halls."""
36,"  With equal ardour fir'd, and warlike joy,"
37,His glowing friend address'd the Dardan boy:--
38,"""These deeds, my Nisus, shalt thou dare alone?"
39,"Must all the fame, the peril, be thine own?"
40,"Am I by thee despis'd, and left afar,"
41,As one unfit to share the toils of war?
42,Not thus his son the great Opheltes taught:
43,Not thus my sire in Argive combats fought;
44,"Not thus, when Ilion fell by heavenly hate,"
45,I track'd Æneas through the walks of fate:
46,"Thou know'st my deeds, my breast devoid of fear,"
47,And hostile life-drops dim my gory spear.
48,"Here is a soul with hope immortal burns,"
49,"And _life_, ignoble _life_, for _Glory_ spurns."
50,"Fame, fame is cheaply earn'd by fleeting breath:"
51,"The price of honour, is the sleep of death."""
52,"  Then Nisus:--""Calm thy bosom's fond alarms:"
53,Thy heart beats fiercely to the din of arms.
54,"More dear thy worth, and valour than my own,"
55,"I swear by him, who fills Olympus' throne!"
56,"So may I triumph, as I speak the truth,"
57,And clasp again the comrade of my youth!
58,"But should I fall,--and he, who dares advance"
59,"Through hostile legions, must abide by chance,--"
60,"If some Rutulian arm, with adverse blow,"
61,"Should lay the friend, who ever lov'd thee, low,"
62,Live thou--such beauties I would fain preserve--
63,Thy budding years a lengthen'd term deserve;
64,"When humbled in the dust, let some one be,"
65,Whose gentle eyes will shed one tear for me;
66,"Whose manly arm may snatch me back by force,"
67,"Or wealth redeem, from foes, my captive corse;"
68,"Or, if my destiny these last deny,"
69,"If, in the spoiler's power, my ashes lie;"
70,"Thy pious care may raise a simple tomb,"
71,"To mark thy love, and signalise my doom."
72,Why should thy doating wretched mother weep
73,"Her only boy, reclin'd in endless sleep?"
74,"Who, for thy sake, the tempest's fury dar'd,"
75,"Who, for thy sake, war's deadly peril shar'd;"
76,"Who brav'd what woman never brav'd before,"
77,"And left her native, for the Latian shore."""
78,"""In vain you damp the ardour of my soul,"""
79,"Replied Euryalus; ""it scorns controul;"
80,"Hence, let us haste!""--their brother guards arose,"
81,"Rous'd by their call, nor court again repose;"
82,"The pair, buoy'd up on Hope's exulting wing,"
83,"Their stations leave, and speed to seek the king."
84,"  Now, o'er the earth a solemn stillness ran,"
85,And lull'd alike the cares of brute and man;
86,"Save where the Dardan leaders, nightly, hold"
87,"Alternate converse, and their plans unfold."
88,"On one great point the council are agreed,"
89,An instant message to their prince decreed;
90,"Each lean'd upon the lance he well could wield,"
91,And pois'd with easy arm his ancient shield;
92,"When Nisus and his friend their leave request,"
93,To offer something to their high behest.
94,"With anxious tremors, yet unaw'd by fear,"
95,The faithful pair before the throne appear;
96,"Iulus greets them; at his kind command,"
97,"The elder, first, address'd the hoary band."
98,"""With patience"" (thus Hyrtacides began)"
99,"""Attend, nor judge, from youth, our humble plan."
100,"Where yonder beacons half-expiring beam,"
101,"Our slumbering foes of future conquest dream,"
102,"Nor heed that we a secret path have trac'd,"
103,Between the ocean and the portal plac'd;
104,"Beneath the covert of the blackening smoke,"
105,"Whose shade, securely, our design will cloak!"
106,"If you, ye Chiefs, and Fortune will allow,"
107,"We'll bend our course to yonder mountain's brow,"
108,"Where Pallas' walls, at distance, meet the sight,"
109,"Seen o'er the glade, when not obscur'd by night:"
110,"Then shall Æneas in his pride return,"
111,While hostile matrons raise their offspring's urn;
112,"And Latian spoils, and purpled heaps of dead"
113,Shall mark the havoc of our Hero's tread;
114,"Such is our purpose, not unknown the way,"
115,Where yonder torrent's devious waters stray;
116,"Oft have we seen, when hunting by the stream,"
117,"The distant spires above the valleys gleam."""
118,"  Mature in years, for sober wisdom fam'd,"
119,"Mov'd by the speech, Alethes here exclaim'd,--"
120,"""Ye parent gods! who rule the fate of Troy,"
121,Still dwells the Dardan spirit in the boy;
122,"When minds, like these, in striplings thus ye raise,"
123,"Yours is the godlike act, be yours the praise;"
124,"In gallant youth, my fainting hopes revive,"
125,"And Ilion's wonted glories still survive."""
126,"Then in his warm embrace the boys he press'd,"
127,"And, quivering, strain'd them to his agéd breast;"
128,"With tears the burning cheek of each bedew'd,"
129,"And, sobbing, thus his first discourse renew'd:--"
130,"""What gift, my countrymen, what martial prize,"
131,"Can we bestow, which you may not despise?"
132,Our Deities the first best boon have given--
133,Internal virtues are the gift of Heaven.
134,"What poor rewards can bless your deeds on earth,"
135,"Doubtless await such young, exalted worth;"
136,Æneas and Ascanius shall combine
137,"To yield applause far, far surpassing mine."""
138,"  Iulus then:--""By all the powers above!"
139,"By those Penates, who my country love!"
140,"By hoary Vesta's sacred Fane, I swear,"
141,"My hopes are all in you, ye generous pair!"
142,"Restore my father, to my grateful sight,"
143,"And all my sorrows, yield to one delight."
144,"Nisus! two silver goblets are thine own,"
145,Sav'd from Arisba's stately domes o'erthrown;
146,"My sire secured them on that fatal day,"
147,Nor left such bowls an Argive robber's prey.
148,"Two massy tripods, also, shall be thine,"
149,Two talents polish'd from the glittering mine;
150,"An ancient cup, which Tyrian Dido gave,"
151,While yet our vessels press'd the Punic wave:
152,"But when the hostile chiefs at length bow down,"
153,"When great Æneas wears Hesperia's crown,"
154,"The casque, the buckler, and the fiery steed"
155,"Which Turnus guides with more than mortal speed,"
156,"Are thine; no envious lot shall then be cast,"
157,"I pledge my word, irrevocably past:"
158,"Nay more, twelve slaves, and twice six captive dames,"
159,"To soothe thy softer hours with amorous flames,"
160,"And all the realms, which now the Latins sway,"
161,The labours of to-night shall well repay.
162,"But thou, my generous youth, whose tender years"
163,"Are near my own, whose worth my heart reveres,"
164,"Henceforth, affection, sweetly thus begun,"
165,Shall join our bosoms and our souls in one;
